geo_name,Government and government enterprises ,Health care and social assistance ,Information ,Manufacturing ,Other,"Professional, scientific, and technical services ",Real estate and rental and leasing ,Retail trade ,Wholesale trade ,Finance and insurance ,Administrative and support and waste management and remediation services ,Management of companies and enterprises ,Transportation and warehousing ,Educational services 
Bucks,0.05945099951500837,0.11463827225934947,0.05330467785110137,0.1104828037165625,0.25382203189344926,0.09871976277745845,0.17186297008226345,0.07000144370453171,0.07249758033708421,NA,NA,NA,NA,NA
Burlington,0.11998179148028462,0.09682948641775557,0.07656801691477272,0.0782547157929985,0.17568684161267203,0.08884638958404022,0.17567236443808312,0.07556943141807414,0.06360764276284499,0.06411709114112979,NA,NA,NA,NA
Camden,0.11632684867187645,0.15919731594234718,NA,0.06357733985391292,0.23007438358329482,0.07549975007218811,0.18127389940437696,0.07653198956672999,0.0519086573048218,NA,0.05000847166251834,NA,NA,NA
Chester,NA,0.052746152733617345,0.12650382707115634,0.06472108341620549,0.1751467220066381,0.15087500995617587,0.13567726868565588,0.0563674528196476,0.054899374026785075,0.13753482539989276,NA,0.05584512486024479,NA,NA
Delaware,0.06804089966964946,0.10229133703646634,0.05759398101517959,0.06883207087315517,0.205448804828229,0.07117258231515967,0.16164200821366426,0.06719849289314156,NA,0.07713737193749272,NA,0.07455430630146459,0.05316793218042626,NA
Gloucester,0.12114007281951047,0.09206640372090799,NA,0.101581274501733,0.2816117015481414,NA,0.1854872715288538,0.11737663108286214,0.09703025886762699,NA,NA,NA,NA,NA
Montgomery,NA,0.08742804235327642,0.05758013411057851,0.1404976210762953,0.2859216790791749,0.15706649752995644,0.11152548089662745,NA,0.07290005534943013,0.09302281748436007,NA,NA,NA,NA
Philadelphia,0.11975404271555164,0.1359506880451683,0.062420365131979204,NA,0.2621138795669682,0.13942637367813854,0.1260064363485844,NA,NA,0.07235587012570219,NA,NA,NA,0.07332627887832027
