year,w_county,workers,county,state
2013,42045,102545,Delaware County,PA
2013,42101,58985,Philadelphia County,PA
2013,42091,34456,Montgomery County,PA
2013,42029,22666,Chester County,PA
2013,42017,4748,Bucks County,PA
2013,42077,1315,Lehigh County,PA
2013,42011,1293,Berks County,PA
2013,42071,1274,Lancaster County,PA
2013,42043,1258,Dauphin County,PA
2013,42003,1166,Allegheny County,PA
2013,42041,791,Cumberland County,PA
2013,42133,778,York County,PA
2013,42095,731,Northampton County,PA
2013,42079,532,Luzerne County,PA
2013,42069,401,Lackawanna County,PA
2013,42027,283,Centre County,PA
2013,42089,268,Monroe County,PA
2013,42107,195,Schuylkill County,PA
2013,42075,169,Lebanon County,PA
2013,42081,153,Lycoming County,PA
2013,42129,146,Westmoreland County,PA
2013,42055,111,Franklin County,PA
2013,42037,98,Columbia County,PA
2013,42013,93,Blair County,PA
2013,42049,79,Erie County,PA
2013,42125,79,Washington County,PA
2013,42097,78,Northumberland County,PA
2013,42001,66,Adams County,PA
2013,42021,58,Cambria County,PA
2013,42019,50,Butler County,PA
2013,42007,47,Beaver County,PA
2013,42127,42,Wayne County,PA
2013,42033,41,Clearfield County,PA
2013,42109,40,Snyder County,PA
2013,42085,37,Mercer County,PA
2013,42025,36,Carbon County,PA
2013,42093,33,Montour County,PA
2013,42063,30,Indiana County,PA
2013,42103,28,Pike County,PA
2013,42111,28,Somerset County,PA
2013,42099,25,Perry County,PA
2013,42119,25,Union County,PA
2013,42035,22,Clinton County,PA
2013,42051,22,Fayette County,PA
2013,42015,21,Bradford County,PA
2013,42061,20,Huntingdon County,PA
2013,42073,17,Lawrence County,PA
2013,42087,16,Mifflin County,PA
2013,42115,15,Susquehanna County,PA
2013,42009,12,Bedford County,PA
2013,42031,10,Clarion County,PA
2013,42059,9,Greene County,PA
2013,42117,9,Tioga County,PA
2013,42121,9,Venango County,PA
2013,42005,8,Armstrong County,PA
2013,42131,8,Wyoming County,PA
2013,42065,6,Jefferson County,PA
2013,42083,6,McKean County,PA
2013,42039,5,Crawford County,PA
2013,42047,5,Elk County,PA
2013,42067,5,Juniata County,PA
2013,42105,5,Potter County,PA
2013,42113,4,Sullivan County,PA
2013,42023,2,Cameron County,PA
2013,42123,2,Warren County,PA
2013,42057,1,Fulton County,PA
